,state_names,district_names,crop_year,season_names,crop_names,area,temperature,wind_speed,pressure,humidity,soil_type,N,P,K,production,Yield
125274,Maharashtra,AHMEDNAGAR,2000,Kharif     ,Arhar/Tur,19100,21.3984492,2.031969258,1015.872489,21.26499645,peaty,38.25,38.25,38.25,9400,0.492146597
125277,Maharashtra,AHMEDNAGAR,2000,Kharif     ,Cotton(lint),15700,20.73651958,2.001321906,1013.193224,20.35264903,sandy,36.84,98.24,49.12,25600,1.630573248
125281,Maharashtra,AHMEDNAGAR,2000,Kharif     ,Moong(Green Gram),19400,21.17448929,2.0813929,1013.195565,21.79045346,clay,0,0,0,8400,0.432989691
125288,Maharashtra,AHMEDNAGAR,2000,Kharif     ,Soyabean,7200,21.75387849,2.101003561,1013.258102,21.96340379,sandy,16.82,16.82,0,6200,0.861111111
125290,Maharashtra,AHMEDNAGAR,2000,Kharif     ,Urad,3400,21.5949819,2.09034176,1015.602757,20.73371717,peaty,0,0,0,1800,0.529411765
125291,Maharashtra,AHMEDNAGAR,2000,Rabi       ,Gram,61000,21.39604354,2.066324161,1015.871153,21.64397375,silt,0,36,0,30300,0.496721311
125300,Maharashtra,AHMEDNAGAR,2000,Rabi       ,Wheat,94700,20.24755997,1.985219584,1013.63178,20.43647965,chalky,598.552,0,0,135800,1.434002112
125303,Maharashtra,AHMEDNAGAR,2000,Whole Year ,Sugarcane,67100,20.56939908,1.972828992,1015.96842,20.69906876,clay,8.74,8.74,0,5163900,76.95827124
125304,Maharashtra,AHMEDNAGAR,2001,Kharif     ,Arhar/Tur,16700,21.36514265,2.048373552,1013.018343,21.75201742,clay,0.615,0.615,0.615,5400,0.323353293
125307,Maharashtra,AHMEDNAGAR,2001,Kharif     ,Cotton(lint),13500,20.33098192,2.026386662,1014.815529,20.10743318,silt,4.53,11.778,11.778,16700,1.237037037
125311,Maharashtra,AHMEDNAGAR,2001,Kharif     ,Moong(Green Gram),21000,22.00376369,1.973377677,1015.195224,21.13204292,loamy,1.501,1.501,1.501,3600,0.171428571
